prize,winner,date,gender,description
Nobel Prize in Physiology or Medicine,Baruj Benacerraf,1980-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,James D. Watson,1962-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Lieben Prize,Otto Porsch,1927-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,Craig Mello,2006-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Patrick Cramer,2006-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Dr A. H. Heineken Prize for Environmental Sciences,Georgina Mace,2016-01-01T00:00:00Z,female,$null$
Environment Prize,Bernhard Ulrich,1997-01-01T00:00:00Z,male,environmental award
Nobel Prize in Physiology or Medicine,Linda B. Buck,2004-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
National Medal of Science,Salome Gluecksohn-Waelsch,1993-01-01T00:00:00Z,female,science award
Nobel Prize in Physiology or Medicine,Jack Szostak,2009-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Carol Greider,2009-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
Francqui Prize,Zénon Bacq,1948-01-01T00:00:00Z,male,award
Gottfried Wilhelm Leibniz Prize,Elena Conti,2008-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Jörg Vogel,2017-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Bert Sakmann,1987-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,H. Robert Horvitz,2002-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Lieben Prize,Zoltan Nusser,2004-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,Archibald Hill,1922-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Francis Crick,1962-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Françoise Barré-Sinoussi,2008-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Ivan Đikić,2013-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Gerald Edelman,1972-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Ralph Steinman,2011-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Howard Florey,1945-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Ulla Bonas,2011-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Richard Roberts,1993-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,H.J. Muller,1946-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Georges J. F. Köhler,1984-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Environment Prize,Garabed Antranikian,2004-01-01T00:00:00Z,male,environmental award
Nobel Prize in Physiology or Medicine,Walter Rudolf Hess,1949-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Francqui Prize,Jozef Schell,1979-01-01T00:00:00Z,male,award
Gottfried Wilhelm Leibniz Prize,Christiane Nüsslein-Volhard,1986-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Daniel Carleton Gajdusek,1976-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Karl Landsteiner,1930-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Bert Sakmann,1991-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Dr A. H. Heineken Prize for Environmental Sciences,James Lovelock,1990-01-01T00:00:00Z,male,$null$
Environment Prize,Loki Schmidt,2004-01-01T00:00:00Z,female,environmental award
Nobel Prize in Physiology or Medicine,Har Gobind Khorana,1968-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Detlef Weigel,2007-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Eric F. Wieschaus,1995-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Dr A. H. Heineken Prize for Environmental Sciences,Simon A. Levin,2004-01-01T00:00:00Z,male,$null$
Gottfried Wilhelm Leibniz Prize,Thomas Carell,2004-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Herbert Jäckle,1986-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Elisabeth Knust,1997-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Matthias Mann,2012-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,William C. Campbell,2015-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Anthony A. Hyman,2011-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Stefan Jentsch,1994-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Gottfried Wilhelm Leibniz Prize,Melina Schuh,2019-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Jules Hoffmann,2011-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Nikolaus Rajewsky,2012-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Hamilton Smith,1978-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
National Medal of Science,Melvin Calvin,1989-01-01T00:00:00Z,male,science award
Gottfried Wilhelm Leibniz Prize,Rudolf K. Thauer,1987-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Charles Nicolle,1928-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Werner Arber,1978-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Luc Montagnier,2008-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
National Medal of Science,Robert Weinberg,1997-01-01T00:00:00Z,male,science award
Nobel Prize in Physiology or Medicine,Konrad Lorenz,1973-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Peter Gruss,1994-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Alfred G. Gilman,1994-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Hans Spemann,1935-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Joseph L. Goldstein,1985-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Frank Allgöwer,2004-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Ferid Murad,1998-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Royal medal,César Milstein,1982-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Philip Palmer Green,2002-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Jacques Oudin,1968-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Lee Hartwell,1992-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Seiji Ogawa,2003-01-01T00:00:00Z,male,award
National Medal of Science,J. Michael Bishop,2003-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,George Klein,1976-01-01T00:00:00Z,male,award
Royal medal,W. H. Gaskell,1889-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Norman Borlaug,2004-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,Elwood V. Jensen,1979-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Mina Bissell,2020-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Luc Montagnier,1987-01-01T00:00:00Z,male,award
National Medal of Science,Walter M. Elsasser,1987-01-01T00:00:00Z,male,science award
Royal medal,Alan Lloyd Hodgkin,1958-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Joan A. Steitz,1986-01-01T00:00:00Z,female,science award
Gairdner Foundation International Award,Emil R. Unanue,2000-01-01T00:00:00Z,male,award
National Medal of Science,Daniel I. Arnon,1973-01-01T00:00:00Z,male,science award
Louisa Gross Horwitz Prize,Christiane Nüsslein-Volhard,1992-01-01T00:00:00Z,female,Annual prize awarded by Columbia University
Royal medal,Wilhelm Feldberg,1983-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Orville Vogel,1975-01-01T00:00:00Z,male,science award
Royal medal,Melvyn Greaves,2017-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Francis Crick,1972-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Max Perutz,1971-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Joan A. Steitz,2006-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Joseph L. Goldstein,1981-01-01T00:00:00Z,male,award
Royal medal,Thomas Henry Huxley,1852-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
World Food Prize,Modadugu Vijay Gupta,2005-01-01T00:00:00Z,male,award
Royal medal,Howard Florey,1951-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Ron Laskey,2009-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Janet Rowley,1996-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Marc Kirschner,2001-01-01T00:00:00Z,male,award
National Medal of Science,Torsten Nils Wiesel,2005-01-01T00:00:00Z,male,science award
National Medal of Science,Har Gobind Khorana,1987-01-01T00:00:00Z,male,science award
Royal medal,Archibald Hill,1926-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Jared Diamond,1999-01-01T00:00:00Z,male,science award
Royal medal,Michael Berridge,1991-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
World Food Prize,Yuan Longping,2004-01-01T00:00:00Z,male,award
Royal medal,Albert Günther,1878-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,James D. Watson,2002-01-01T00:00:00Z,male,award
Wolf Prize,Jozef Schell,1990-01-01T00:00:00Z,male,science award
Royal medal,Roderic Alfred Gregory,1978-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
World Food Prize,Surinder Vasal,2000-01-01T00:00:00Z,male,award
National Medal of Science,Glenn W. Burton,1982-01-01T00:00:00Z,male,science award
Royal medal,David Baulcombe,2006-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Louisa Gross Horwitz Prize,Rosalind Franklin,2008-01-01T00:00:00Z,female,Annual prize awarded by Columbia University
Royal medal,Hugh Huxley,1977-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Thomas Eisner,1994-01-01T00:00:00Z,male,science award
Rachel Carson Prize,Sylvia Earle,2017-01-01T00:00:00Z,female,International environmental award for women
Royal medal,Ronald Fisher,1938-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Benjamin Franklin Medal,John Hopfield,2019-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
National Medal of Science,Gertrude B. Elion,1991-01-01T00:00:00Z,female,science award
Gairdner Foundation International Award,Robert Weinberg,1992-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Anthony Pawson,1994-01-01T00:00:00Z,male,award
National Medal of Science,Sallie W. Chisholm,2011-01-01T00:00:00Z,female,science award
National Medal of Science,Rudolf Jaenisch,2010-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,Robert G. Roeder,2000-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Barry Marshall,1996-01-01T00:00:00Z,male,award
World Food Prize,Robert Fraley,2013-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Christian de Duve,1967-01-01T00:00:00Z,male,award
Benjamin Franklin Medal,Sean B. Carroll,2012-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
Royal medal,Alfred Russel Wallace,1868-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Elaine Fuchs,2020-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Henry Friesen,1977-01-01T00:00:00Z,male,award
Royal medal,Eric James Denton,1987-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Benjamin Franklin Medal,Barry Marshall,1999-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
Gairdner Foundation International Award,Philippe Horvath,2016-01-01T00:00:00Z,male,award
Royal medal,Anthony Pawson,2005-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Dorothy Hodgkin,1956-01-01T00:00:00Z,female,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Ernst Mayr,1969-01-01T00:00:00Z,male,science award
National Medal of Science,Baruj Benacerraf,1990-01-01T00:00:00Z,male,science award
Royal medal,Richard Owen,1846-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Edwin Stephen Goodrich,1936-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,John Richardson,1856-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Elizabeth Blackburn,2015-01-01T00:00:00Z,female,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Edward O. Wilson,1976-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,James Rothman,1996-01-01T00:00:00Z,male,award
Royal medal,Mary F. Lyon,1984-01-01T00:00:00Z,female,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Lewis Wolpert,2018-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Ann Graybiel,2001-01-01T00:00:00Z,female,science award
World Food Prize,Henry Beachell,1996-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Alfred G. Gilman,1984-01-01T00:00:00Z,male,award
Gold Medal of the Royal Astronomical Society,Marcel Minnaert,1947-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Bertil Hille,2001-01-01T00:00:00Z,male,award
World Food Prize,Mary-Dell Chilton,2013-01-01T00:00:00Z,female,award
Royal medal,Tomas Lindahl,2007-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Craig Mello,2005-01-01T00:00:00Z,male,award
National Medal of Science,Stanley Falkow,2014-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,Bob Waterston,2002-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Greg Winter,2013-01-01T00:00:00Z,male,award
Royal medal,Rosemary Grant,2017-01-01T00:00:00Z,female,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Gabriel Horn,2001-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
National Medal of Science,Mario Capecchi,2001-01-01T00:00:00Z,male,science award
National Medal of Science,Carl Woese,2000-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,James E. Darnell,1986-01-01T00:00:00Z,male,award
Royal medal,Francis Maitland Balfour,1881-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,John Maynard Smith,1997-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Richard Lavenham Gardner,2001-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Georges J. F. Köhler,1981-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Keith R. Porter,1964-01-01T00:00:00Z,male,award
Benjamin Franklin Medal,David Baulcombe,2008-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
Goldman Environmental Prize,Samuel LaBudde,1991-01-01T00:00:00Z,male,annual international award for environmental activists
Karl Ritter von Frisch Medal,Diethard Tautz,2016-01-01T00:00:00Z,male,$null$
Eminent Ecologist Award,Simon A. Levin,2010-01-01T00:00:00Z,male,$null$
Karl Ritter von Frisch Medal,Herbert Jäckle,1992-01-01T00:00:00Z,male,$null$
Carus medal,Rudolf K. Thauer,1993-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Gilbert Ashwell,1982-01-01T00:00:00Z,male,award
Eminent Ecologist Award,George C. Williams,1989-01-01T00:00:00Z,male,$null$
Goldman Environmental Prize,Wangari Muta Maathai,1991-01-01T00:00:00Z,female,annual international award for environmental activists
Rachel Carson Award,Sylvia Earle,2009-01-01T00:00:00Z,female,$null$
Eminent Ecologist Award,Eric Pianka,2015-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Bert Sakmann,1989-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Roel Nusse,2020-01-01T00:00:00Z,male,award
Natural World Book Prize,Edward O. Wilson,1993-01-01T00:00:00Z,male,"award conferred by The Wildlife Trusts, and presented to recognise environmental literature"
Gairdner Foundation International Award,Ernest McCulloch,1969-01-01T00:00:00Z,male,award
Sophie Prize,Gretchen Daily,2008-01-01T00:00:00Z,female,$null$
J. Paul Getty Award for Conservation Leadership,Miguel Alvarez del Toro,1989-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Masatoshi Takeichi,2020-01-01T00:00:00Z,male,award
Natural World Book Prize,Colin Tudge,1995-01-01T00:00:00Z,male,"award conferred by The Wildlife Trusts, and presented to recognise environmental literature"
Carl Friedrich Gauss Medal,Walter M. Elsasser,1977-01-01T00:00:00Z,male,$null$
Marsh Award for Conservation Biology,Eleanor Jane Milner-Gulland,2001-01-01T00:00:00Z,female,$null$
Gairdner Foundation International Award,Elizabeth Blackburn,1998-01-01T00:00:00Z,female,award
Sierra Club John Muir Award,Jacques Cousteau,1976-01-01T00:00:00Z,male,$null$
Eminent Ecologist Award,Richard Bruce Root,2003-01-01T00:00:00Z,male,$null$
Indianapolis Prize for conservation,Carl Jones,2016-01-01T00:00:00Z,male,American applied science award for species conservation
Eminent Ecologist Award,Edward O. Wilson,1994-01-01T00:00:00Z,male,$null$
Eminent Ecologist Award,John L. Harper,1984-01-01T00:00:00Z,male,$null$
Blue Planet Prize,Thomas Lovejoy,2012-01-01T00:00:00Z,male,award of the Asahi Glass Foundation
Goldman Environmental Prize,Kaisha Atakhanova,2005-01-01T00:00:00Z,female,annual international award for environmental activists
National Environmental Award,Miguel Delibes de Castro,2001-01-01T00:00:00Z,male,$null$
Carus medal,Georges J. F. Köhler,1985-01-01T00:00:00Z,male,$null$
J. Paul Getty Award for Conservation Leadership,Julia Carabias,2000-01-01T00:00:00Z,female,$null$
Goldman Environmental Prize,William James Ballentine,1996-01-01T00:00:00Z,male,annual international award for environmental activists
Gairdner Foundation International Award,Carol Greider,1998-01-01T00:00:00Z,female,award
Eminent Ecologist Award,Charles Birch,1988-01-01T00:00:00Z,male,$null$
Eminent Ecologist Award,Eugene Odum,1974-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Murray Barr,1963-01-01T00:00:00Z,male,award
Indianapolis Prize for conservation,George Schaller,2008-01-01T00:00:00Z,male,American applied science award for species conservation
Goldman Environmental Prize,János Vargha,1990-01-01T00:00:00Z,male,annual international award for environmental activists
Academy Award of the Bavarian Academy of Sciences,Karl Daumer,1988-01-01T00:00:00Z,male,$null$
Eminent Ecologist Award,Henry Gleason,1959-01-01T00:00:00Z,male,$null$
Champions of the Earth,Izabella Teixeira,2013-01-01T00:00:00Z,female,award
Karl Ritter von Frisch Medal,Werner Nachtigall,1982-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Mary F. Lyon,1985-01-01T00:00:00Z,female,award
J. Paul Getty Award for Conservation Leadership,Hemanta Mishra,1987-01-01T00:00:00Z,male,$null$
Karl Ritter von Frisch Medal,Thomas Eisner,1988-01-01T00:00:00Z,male,$null$
Bakerian Lecture,William Bate Hardy,1925-01-01T00:00:00Z,male,one of the premier medals of the Royal Society that recognizes exceptional and outstanding science
Eminent Ecologist Award,Alfred E. Emerson,1967-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Peter Walter,2009-01-01T00:00:00Z,male,award
Carus medal,Christiane Nüsslein-Volhard,1989-01-01T00:00:00Z,female,$null$
Gunnerus Sustainability Science Award,Carl Folke,2017-01-01T00:00:00Z,male,international award for sustainable research
Blue Planet Prize,Mathis Wackernagel,2012-01-01T00:00:00Z,male,award of the Asahi Glass Foundation
Carus medal,Peter Gruss,1995-01-01T00:00:00Z,male,$null$
J. Paul Getty Award for Conservation Leadership,Pan Wenshi,1999-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Alan Hall,2006-01-01T00:00:00Z,male,award
Spinoza Prize,Ben Scheres,2006-01-01T00:00:00Z,male,annual award in the Netherlands
Bakerian Lecture,Melvin Calvin,1965-01-01T00:00:00Z,male,one of the premier medals of the Royal Society that recognizes exceptional and outstanding science
A.G. Huntsman Award for Excellence in the Marine Sciences,Terry Hughes,2018-01-01T00:00:00Z,male,medal awarded by the Royal Society of Canada
